mean,sd,median,mode,q25,q75,iqr,skew,kurt,zcr,energy,energy_entropy,spectral_centroid,spectral_spread,spectral_entropy,spectral_flux,spectral_rolloff,label
1808.092286871821,1990.4360035798816,782.3627287853578,98.83527454242929,365.7237936772047,3184.6921797004993,2818.9683860232944,5.096126718378837,36.7140865415859,0.13261324554853232,0.014204414416755384,2.7761432174613403,0.22061044619677334,0.20758809149656382,0.8133277850828403,0.007252429353521946,0.2112605042016807,male
2200.0460485537265,2274.1870346954465,955.1592898127934,117.46295473425938,351.461525086455,4268.851065474006,3917.389540387551,7.525937685318883,85.611556206484,0.15118507509386733,0.03181129845604036,2.7558763842265073,0.25710525507061494,0.22742563575698735,0.9448029136847071,0.008513488337909601,0.24787109375,male
1675.355750914382,2147.506127411486,556.4242607601789,119.99808920240122,225.47411665419338,2382.637219152561,2157.1631024983676,8.71479837143246,115.77520475467267,0.11227174994384005,0.014425818562306531,2.627035213463654,0.22856883373271522,0.2258993713182195,0.6892151038266449,0.015154710139553855,0.2165064102564103,male
1974.2116670395442,1986.0245385176113,925.4844380904542,144.3557891076293,451.30503661057554,3254.0329591777595,2802.727922567184,4.360345341097582,26.907694861795978,0.18250352002503129,0.015272539852444589,2.742456006528521,0.26715468837846745,0.21300029994580466,1.0161154511996262,0.008579208404137721,0.29720703125,male
1798.8534979105757,1842.8314684090658,949.25,135.25,376.75,2776.0,2399.25,6.768834365900995,69.74755105434136,0.08961673790351145,0.016475918849749402,2.7950433507055807,0.20154143150714598,0.2085831915854775,0.7219114384979458,0.012700814599174827,0.15537735849056608,male
1798.8534979105757,1842.8314684090658,949.25,135.25,376.75,2776.0,2399.25,6.768834365900995,69.74755105434136,0.08961673790351145,0.016475918849749402,2.7950433507055807,0.20154143150714598,0.2085831915854775,0.7219114384979458,0.012700814599174827,0.15537735849056608,male
1800.5721038246706,1995.4708805028372,739.385065885798,158.7115666178624,331.77159590043925,3126.5007320644218,2794.7291361639827,5.6375334423841315,47.33654251966478,0.12638946831687758,0.018260614503891142,2.606941309890286,0.21553455560891938,0.2025812659880105,0.8220042223691164,0.007853316879957188,0.20512962962962966,male
1821.9965814808788,2047.3187287864134,722.7450789161423,120.6742413159734,330.55379463922884,2913.866809707254,2583.3130150680254,7.9328500441824445,94.15220097735096,0.1177705684737501,0.022720523374126656,2.7445843049181673,0.23854888500775415,0.2231283103183357,0.7865683820696878,0.009287533721777829,0.19608552631578946,male
1377.8504075837159,1766.161196919201,605.777166437414,100.13755158184318,210.7290233837689,1662.4484181568087,1451.7193947730398,6.399430009338353,64.86843033218145,0.08731400361563064,0.01502730028518314,2.512894778002417,0.20152659014577648,0.21424438265984774,0.6127193744266859,0.01093601234382241,0.17140624999999998,male
1651.1750666141652,1725.6469662661225,833.7623377344864,558.5081757745227,404.73324568063555,2603.5073424566212,2198.7740967759855,4.085360606398157,23.630262145818982,0.12460538359516561,0.01890352558956878,2.594405130208758,0.21637577966067403,0.19616766611009875,0.8543605547501059,0.009858051450387003,0.20453358208955222,male
1358.3351330180549,1485.185508287476,752.2,137.20000000000002,362.8,2005.8000000000002,1643.0000000000002,5.02755551241258,40.48162195467144,0.06287381840365783,0.007794043764205214,2.7792103339209717,0.16790436093049577,0.19861805449734596,0.5676994668755715,0.014228085910693026,0.11359296482412058,male
